Unnamed: 0,MainHaloID,HaloID,Galaxy_Type,r,X,Y,Z,Vx,Vy,Vz,R200c,Distancia XY,Distancia YZ,Distancia XZ,m_rx,m_ry,m_rz,m_mean,Dispersion,Tamaño Angular del grupo XY (arcsec),Tamaño Angular del grupo YZ (arcsec),Tamaño Angular del grupo XZ (arcsec),Brillo Superficial,R200
108275.0,12578846929,12578846929,0,-19.048166,57743.76,42521.047,362089.88,357.18,181.48,-3.85,70.803925,71710.4,364578.0,366665.28,15.229746,18.760786,18.773184,17.587906,133.3127588118395,14.217954,2.7965934,2.7806735,21.310041,
102871.0,12578222247,12578222247,0,-18.594845,54138.668,7800.506,275162.88,72.38,-337.87,-236.76,64.289024,54697.746,275273.44,280438.25,15.095001,18.603977,18.64434,17.447773,104.7157759404326,16.925016,3.3630629,3.3011255,21.160856,
103496.0,12578293753,12578293753,0,-20.611937,85634.96,21501.97,349366.66,253.11,134.53,-252.04,98.572075,88293.16,350027.72,359708.78,14.117701,17.108576,17.167818,16.131365,165.89497651709306,16.076393,4.055215,3.9460747,21.180222,
8993.0,12569437106,12569437106,0,-18.260948,3263.8047,51417.1,245662.03,-200.1,-98.82,2.68,72.09826,51520.586,250985.16,245683.72,15.298958,18.73729,18.690933,17.575727,121.16709220980584,20.151405,4.1365585,4.2258186,21.915695,
208885.0,12587868715,12587868715,0,-20.437191,126919.53,12668.902,669075.4,-168.65,151.65,235.05,84.19665,127550.26,669195.3,681006.94,15.091217,18.690575,18.728569,17.503454,119.4404416585175,9.505516,1.8117756,1.7803514,20.908768,
15207.0,12569775699,12569775699,0,-20.814241,26892.791,90320.44,629793.3,-38.06,95.91,-488.31,106.08113,94239.08,636236.9,630367.2,14.056913,18.203852,18.18373,16.814833,233.2258738526969,16.209473,2.4009428,2.423299,20.76129,
109057.0,12578731323,12578731323,0,-19.62158,69163.61,42415.95,217788.97,281.1,-426.66,31.74,68.34606,81133.945,221880.94,228507.42,14.924433,17.109018,17.172922,16.402124,143.1533082553906,12.13034,4.4356365,4.3070073,21.316788,
217003.0,12588457314,12588457314,0,-20.945887,93734.71,74813.93,640474.1,-279.41,-219.06,-884.43,133.43176,119930.484,644828.8,647296.9,14.448763,18.101336,18.109632,16.886576,294.7874320179881,16.021067,2.9797323,2.968371,20.824762,
16180.0,12569184631,12569184631,0,-17.986982,25552.412,12812.808,590458.75,261.14,383.34,59.68,61.96786,28584.852,590597.75,591011.4,14.293695,20.869478,20.870996,18.678057,103.31804581525762,31.216944,1.5109053,1.5098478,21.920181,
129812.0,12578995756,12578995756,0,-20.366034,85269.95,63004.223,529333.06,-134.13,-543.81,-105.31,88.28414,106021.21,533069.44,536157.1,14.760927,18.267885,18.280428,17.10308,187.3108699036996,11.990907,2.3848517,2.3711176,20.888609,
120276.0,12579130812,12579130812,0,-19.95824,75580.78,51042.33,656196.5,330.31,174.04,-773.24,87.34121,91201.83,658178.7,660534.9,14.841778,19.13348,19.14124,17.7055,181.9514192946664,13.790424,1.9108996,1.9040833,21.2835,
215429.0,12587766067,12587766067,0,-20.095,92849.87,2402.4663,552916.25,171.39,899.01,277.02,71.586136,92880.945,552921.44,560658.06,14.744635,18.618319,18.648493,17.337149,156.65499070123187,11.098504,1.8643523,1.8386258,20.74791,
115700.0,12579204615,12579204615,0,-20.622793,64374.836,87780.27,61154.84,122.76,520.76,81.53,86.64206,108855.39,106982.664,88792.086,14.561457,14.523771,14.119078,14.401436,142.29749999260062,11.461487,11.662119,14.051298,20.802305,
109071.0,12578439600,12578439600,0,-20.087782,81303.16,20902.676,556587.3,507.92,622.89,203.85,91.077995,83947.16,556979.7,562494.1,14.532248,18.641413,18.66281,17.278824,108.16423452475294,15.623174,2.3547053,2.331621,21.179821,
